Protocol,Port,Domain,Request Status,Screenshot Path, Source Path
http,80,blog.inlanefreight.local,Successful,/home/kali/Documents/HTB_Labs_Writeups/Academy/Attacking-Enterprise-Networks/2025-06-30_094413/screens/http.blog.inlanefreight.local.png,/home/kali/Documents/HTB_Labs_Writeups/Academy/Attacking-Enterprise-Networks/2025-06-30_094413/source/http.blog.inlanefreight.local.txt
http,80,careers.inlanefreight.local,Successful,/home/kali/Documents/HTB_Labs_Writeups/Academy/Attacking-Enterprise-Networks/2025-06-30_094413/screens/http.careers.inlanefreight.local.png,/home/kali/Documents/HTB_Labs_Writeups/Academy/Attacking-Enterprise-Networks/2025-06-30_094413/source/http.careers.inlanefreight.local.txt
http,80,dev.inlanefreight.local,Successful,/home/kali/Documents/HTB_Labs_Writeups/Academy/Attacking-Enterprise-Networks/2025-06-30_094413/screens/http.dev.inlanefreight.local.png,/home/kali/Documents/HTB_Labs_Writeups/Academy/Attacking-Enterprise-Networks/2025-06-30_094413/source/http.dev.inlanefreight.local.txt
http,80,flag.inlanefreight.local,Successful,/home/kali/Documents/HTB_Labs_Writeups/Academy/Attacking-Enterprise-Networks/2025-06-30_094413/screens/http.flag.inlanefreight.local.png,/home/kali/Documents/HTB_Labs_Writeups/Academy/Attacking-Enterprise-Networks/2025-06-30_094413/source/http.flag.inlanefreight.local.txt
http,80,gitlab.inlanefreight.local,Successful,/home/kali/Documents/HTB_Labs_Writeups/Academy/Attacking-Enterprise-Networks/2025-06-30_094413/screens/http.gitlab.inlanefreight.local.png,/home/kali/Documents/HTB_Labs_Writeups/Academy/Attacking-Enterprise-Networks/2025-06-30_094413/source/http.gitlab.inlanefreight.local.txt
http,80,ir.inlanefreight.local,Successful,/home/kali/Documents/HTB_Labs_Writeups/Academy/Attacking-Enterprise-Networks/2025-06-30_094413/screens/http.ir.inlanefreight.local.png,/home/kali/Documents/HTB_Labs_Writeups/Academy/Attacking-Enterprise-Networks/2025-06-30_094413/source/http.ir.inlanefreight.local.txt
http,80,status.inlanefreight.local,Successful,/home/kali/Documents/HTB_Labs_Writeups/Academy/Attacking-Enterprise-Networks/2025-06-30_094413/screens/http.status.inlanefreight.local.png,/home/kali/Documents/HTB_Labs_Writeups/Academy/Attacking-Enterprise-Networks/2025-06-30_094413/source/http.status.inlanefreight.local.txt
http,80,support.inlanefreight.local,Successful,/home/kali/Documents/HTB_Labs_Writeups/Academy/Attacking-Enterprise-Networks/2025-06-30_094413/screens/http.support.inlanefreight.local.png,/home/kali/Documents/HTB_Labs_Writeups/Academy/Attacking-Enterprise-Networks/2025-06-30_094413/source/http.support.inlanefreight.local.txt
http,80,tracking.inlanefreight.local,Successful,/home/kali/Documents/HTB_Labs_Writeups/Academy/Attacking-Enterprise-Networks/2025-06-30_094413/screens/http.tracking.inlanefreight.local.png,/home/kali/Documents/HTB_Labs_Writeups/Academy/Attacking-Enterprise-Networks/2025-06-30_094413/source/http.tracking.inlanefreight.local.txt
http,80,vpn.inlanefreight.local,Successful,/home/kali/Documents/HTB_Labs_Writeups/Academy/Attacking-Enterprise-Networks/2025-06-30_094413/screens/http.vpn.inlanefreight.local.png,/home/kali/Documents/HTB_Labs_Writeups/Academy/Attacking-Enterprise-Networks/2025-06-30_094413/source/http.vpn.inlanefreight.local.txt
http,80,monitoring.inlanefreight.local,Successful,/home/kali/Documents/HTB_Labs_Writeups/Academy/Attacking-Enterprise-Networks/2025-06-30_094413/screens/http.monitoring.inlanefreight.local.png,/home/kali/Documents/HTB_Labs_Writeups/Academy/Attacking-Enterprise-Networks/2025-06-30_094413/source/http.monitoring.inlanefreight.local.txt
http,80,inlanefreight.local,Successful,/home/kali/Documents/HTB_Labs_Writeups/Academy/Attacking-Enterprise-Networks/2025-06-30_094413/screens/http.flag.inlanefreight.local.png,/home/kali/Documents/HTB_Labs_Writeups/Academy/Attacking-Enterprise-Networks/2025-06-30_094413/source/http.inlanefreight.local.txt
